Time,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-38-0f-66,00-17-0d-00-00-3f-f8-20,00-17-0d-00-00-3f-fe-87,00-17-0d-00-00-3f-fe-88
2016-09-11T09:10:00.000Z,6.9136842105,10.332,7.2826315789,10.9405555556,10.3835
2016-09-11T09:20:00.000Z,7.046,10.4068421053,7.3915,10.9325,10.5165
2016-09-11T09:30:00.000Z,6.7321052632,10.1295,7.1142105263,10.4921052632,10.1695
2016-09-11T09:40:00.000Z,6.2726315789,9.7010526316,6.4411111111,9.886,9.7642105263
2016-09-11T09:50:00.000Z,5.592,9.071,5.826,9.3905263158,9.1652631579
2016-09-11T10:00:00.000Z,4.7526315789,8.195,4.9742105263,8.4910526316,8.3805
2016-09-11T10:10:00.000Z,4.5845,8.3289473684,4.998,8.441,8.3178947368
2016-09-11T10:20:00.000Z,5.5236842105,9.174,6.1610526316,9.0363157895,9.0525
2016-09-11T10:30:00.000Z,6.4347368421,9.8831578947,7.0805263158,10.017,10.0115789474
2016-09-11T10:40:00.000Z,7.3605,10.7494736842,7.8605,10.93,10.5257894737
2016-09-11T10:50:00.000Z,8.4573684211,11.644,9.5368421053,11.9268421053,11.493
2016-09-11T11:00:00.000Z,9.386,12.4963157895,11.182,12.8265,12.3447368421
2016-09-11T11:10:00.000Z,10.3631578947,13.214,12.6525,13.5563157895,13.071
2016-09-11T11:20:00.000Z,11.1447368421,13.8794736842,13.802,14.4225,13.8447368421
2016-09-11T11:30:00.000Z,11.675,14.4131578947,14.8905,15.1116666667,14.3373684211
2016-09-11T11:40:00.000Z,12.115,15.0752631579,15.4794444444,15.5047368421,14.8726315789
2016-09-11T11:50:00.000Z,11.9295,15.257,15.825,15.2257894737,14.68
2016-09-11T12:00:00.000Z,11.8626315789,15.6863157895,16.6315789474,15.3431578947,14.9015
2016-09-11T12:10:00.000Z,12.2545,15.9542105263,16.858,15.7445,15.3722222222
2016-09-11T12:20:00.000Z,13.1027777778,16.713,17.2115789474,16.6505555556,16.1625
2016-09-11T12:30:00.000Z,13.7315,17.405,17.6952631579,17.294,17.0478947368
2016-09-11T12:40:00.000Z,14.1085,18.0968421053,18.2005,17.731,17.5836842105
2016-09-11T12:50:00.000Z,14.5731578947,18.6255,18.488,18.1726315789,18.229
2016-09-11T13:00:00.000Z,15.146,19.37,19.2655,18.93,19.0389473684
2016-09-11T13:10:00.000Z,15.643,20.599,20.4994736842,19.7563157895,20.1626315789
2016-09-11T13:20:00.000Z,16.4357894737,21.5684210526,20.6115789474,20.5063157895,21.0595
2016-09-11T13:30:00.000Z,17.2635,22.3815789474,21.6825,21.3745,21.9321052632
2016-09-11T13:40:00.000Z,17.9794736842,22.593,21.6526315789,22.2321052632,22.8005555556
2016-09-11T13:50:00.000Z,18.3763157895,22.7026315789,21.4505263158,22.6389473684,22.848
2016-09-11T14:00:00.000Z,18.7675,22.8094736842,21.4265,22.747,23.1947368421
2016-09-11T14:10:00.000Z,19.1668421053,23.3465,21.4047368421,23.1742105263,23.458
2016-09-11T14:20:00.000Z,19.6915789474,24.1257894737,21.4047368421,23.58,24.0942105263
2016-09-11T14:30:00.000Z,20.293,24.55,21.5325,24.0836842105,24.66
2016-09-11T14:40:00.000Z,20.9473684211,25.385,21.9563157895,24.8942105263,25.7795
2016-09-11T14:50:00.000Z,21.3868421053,26.2168421053,22.3373684211,25.5145,26.4322222222
2016-09-11T15:00:00.000Z,22.045,26.6325,22.535,26.0021052632,26.8168421053
2016-09-11T15:10:00.000Z,22.5177777778,27.0178947368,23.1673684211,26.5783333333,27.67
2016-09-11T15:20:00.000Z,23.203,27.3942105263,24.079,27.13,28.2168421053
2016-09-11T15:30:00.000Z,23.9868421053,27.9965,24.8557894737,27.9610526316,29.2363157895
2016-09-11T15:40:00.000Z,24.0731578947,27.6966666667,25.2431578947,27.9715789474,29.064
2016-09-11T15:50:00.000Z,24.5965,28.8605263158,26.038,28.596,30.1147368421
2016-09-11T16:00:00.000Z,25.3610526316,29.154,26.6994736842,29.2668421053,30.7136842105
2016-09-11T16:10:00.000Z,25.66,29.063,26.8761111111,29.4826315789,30.9294736842
2016-09-11T16:20:00.000Z,25.8305,29.3431578947,27.017,29.686,30.9821052632
2016-09-11T16:30:00.000Z,26.9978947368,30.5725,27.8989473684,30.642,31.8835
2016-09-11T16:40:00.000Z,27.2336842105,30.359,27.7963157895,30.4789473684,31.842
2016-09-11T16:50:00.000Z,27.9521052632,31.0042105263,28.6610526316,31.019,32.7266666667
2016-09-11T17:00:00.000Z,28.3884210526,31.1321052632,28.7515789474,31.1968421053,32.7484210526
2016-09-11T17:10:00.000Z,28.646,31.3131578947,28.9355,31.3784210526,32.7905263158
2016-09-11T17:20:00.000Z,28.8278947368,31.955,29.3652631579,31.7415789474,33.093
2016-09-11T17:30:00.000Z,29.5794736842,32.6957894737,29.8368421053,32.0765,33.6284210526
2016-09-11T17:40:00.000Z,29.7685,32.544,29.946,31.8921052632,33.86
2016-09-11T17:50:00.000Z,30.6084210526,33.0910526316,31.3111111111,32.4268421053,34.4385
2016-09-11T18:00:00.000Z,30.6525,33.1226315789,31.5215,32.8685,34.6026315789
